Time	cursor_x	cursor_y	cursor_z	K1	K2	L1	
1.674716	0.023209	0.040200	-0.001207	50.000000	45.000000	0.060000	
1.675216	0.023139	0.040249	-0.001304	50.000000	45.000000	0.060000	
1.675717	0.023139	0.040249	-0.001304	50.000000	45.000000	0.060000	
1.676217	0.023104	0.040308	-0.001361	50.000000	45.000000	0.060000	
1.676717	0.023104	0.040308	-0.001361	50.000000	45.000000	0.060000	
1.677218	0.023139	0.040298	-0.001402	50.000000	45.000000	0.060000	
1.677718	0.023139	0.040298	-0.001402	50.000000	45.000000	0.060000	
1.678218	0.023105	0.040288	-0.001442	50.000000	45.000000	0.060000	
1.678719	0.023105	0.040288	-0.001442	50.000000	45.000000	0.060000	
1.679256	0.023105	0.040288	-0.001442	50.000000	45.000000	0.060000	
1.679757	0.023035	0.040337	-0.001540	50.000000	45.000000	0.060000	
1.680257	0.023035	0.040337	-0.001540	50.000000	45.000000	0.060000	
1.680757	0.023035	0.040337	-0.001540	50.000000	45.000000	0.060000	
1.681258	0.023035	0.040386	-0.001637	50.000000	45.000000	0.060000	
1.681758	0.023035	0.040386	-0.001637	50.000000	45.000000	0.060000	
1.682258	0.023000	0.040377	-0.001678	50.000000	45.000000	0.060000	
1.682759	0.023000	0.040377	-0.001678	50.000000	45.000000	0.060000	
1.683259	0.023000	0.040377	-0.001678	50.000000	45.000000	0.060000	
1.683759	0.023035	0.040435	-0.001735	50.000000	45.000000	0.060000	
1.684260	0.023035	0.040435	-0.001735	50.000000	45.000000	0.060000	
1.684760	0.022965	0.040416	-0.001816	50.000000	45.000000	0.060000	
1.685260	0.022965	0.040416	-0.001816	50.000000	45.000000	0.060000	
1.685761	0.022931	0.040474	-0.001873	50.000000	45.000000	0.060000	
1.686261	0.022931	0.040474	-0.001873	50.000000	45.000000	0.060000	
1.686762	0.022931	0.040474	-0.001873	50.000000	45.000000	0.060000	
1.687262	0.022931	0.040523	-0.001971	50.000000	45.000000	0.060000	
1.687822	0.022931	0.040523	-0.001971	50.000000	45.000000	0.060000	
1.688322	0.022931	0.040523	-0.001971	50.000000	45.000000	0.060000	
1.688822	0.022931	0.040523	-0.001971	50.000000	45.000000	0.060000	
1.689323	0.022931	0.040523	-0.001971	50.000000	45.000000	0.060000	
1.689823	0.022896	0.040582	-0.002028	50.000000	45.000000	0.060000	
1.690519	0.022896	0.040582	-0.002028	50.000000	45.000000	0.060000	
1.691020	0.022861	0.040572	-0.002069	50.000000	45.000000	0.060000	
1.691618	0.022861	0.040572	-0.002069	50.000000	45.000000	0.060000	
1.692118	0.022862	0.040689	-0.002183	50.000000	45.000000	0.060000	
1.692618	0.022862	0.040689	-0.002183	50.000000	45.000000	0.060000	
1.693119	0.022862	0.040689	-0.002183	50.000000	45.000000	0.060000	
1.693619	0.022827	0.040679	-0.002224	50.000000	45.000000	0.060000	
1.694119	0.022827	0.040679	-0.002224	50.000000	45.000000	0.060000	
1.694620	0.022827	0.040679	-0.002224	50.000000	45.000000	0.060000	
1.695120	0.022827	0.040679	-0.002224	50.000000	45.000000	0.060000	
1.695620	0.022793	0.040717	-0.002362	50.000000	45.000000	0.060000	
1.696121	0.022793	0.040717	-0.002362	50.000000	45.000000	0.060000	
1.696621	0.022793	0.040717	-0.002362	50.000000	45.000000	0.060000	
1.697121	0.022793	0.040765	-0.002460	50.000000	45.000000	0.060000	
1.697622	0.022793	0.040765	-0.002460	50.000000	45.000000	0.060000	
1.698122	0.022793	0.040834	-0.002477	50.000000	45.000000	0.060000	
1.698622	0.022793	0.040834	-0.002477	50.000000	45.000000	0.060000	
1.699123	0.022793	0.040834	-0.002477	50.000000	45.000000	0.060000	
1.699623	0.022758	0.040824	-0.002517	50.000000	45.000000	0.060000	
1.700124	0.022758	0.040824	-0.002517	50.000000	45.000000	0.060000	
1.700624	0.022758	0.040892	-0.002534	50.000000	45.000000	0.060000	
1.701124	0.022758	0.040892	-0.002534	50.000000	45.000000	0.060000	
1.701625	0.022758	0.040892	-0.002534	50.000000	45.000000	0.060000	
1.702125	0.022724	0.040930	-0.002673	50.000000	45.000000	0.060000	
1.702625	0.022724	0.040930	-0.002673	50.000000	45.000000	0.060000	
1.703126	0.022724	0.040998	-0.002690	50.000000	45.000000	0.060000	
1.703626	0.022724	0.040998	-0.002690	50.000000	45.000000	0.060000	
1.704126	0.022689	0.041056	-0.002747	50.000000	45.000000	0.060000	
1.704627	0.022689	0.041056	-0.002747	50.000000	45.000000	0.060000	
1.705127	0.022689	0.041056	-0.002747	50.000000	45.000000	0.060000	
1.705627	0.022724	0.041046	-0.002788	50.000000	45.000000	0.060000	
1.706128	0.022724	0.041046	-0.002788	50.000000	45.000000	0.060000	
1.706628	0.022724	0.041046	-0.002788	50.000000	45.000000	0.060000	
1.707129	0.022690	0.041104	-0.002845	50.000000	45.000000	0.060000	
1.707629	0.022690	0.041104	-0.002845	50.000000	45.000000	0.060000	
1.708129	0.022655	0.041162	-0.002903	50.000000	45.000000	0.060000	
1.708630	0.022655	0.041162	-0.002903	50.000000	45.000000	0.060000	
1.709130	0.022655	0.041210	-0.003001	50.000000	45.000000	0.060000	
1.709630	0.022655	0.041210	-0.003001	50.000000	45.000000	0.060000	
